eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,epoch,random_state,text_type
1.3790172338485718,0.3135593220338983,0.11935483870967742,0.07838983050847458,0.25,3.0,50,0
1.3581963777542114,0.3135593220338983,0.11961206896551724,0.07861189801699717,0.25,3.0,51,0
1.3740477561950684,0.3135593220338983,0.11935483870967742,0.07838983050847458,0.25,3.0,52,0
1.3555796146392822,0.3220338983050847,0.13920529801324505,0.20394736842105263,0.25411280846063455,3.0,53,0
1.3422223329544067,0.3163841807909605,0.12320919126767552,0.3286118980169972,0.25181159420289856,3.0,54,0
1.3729772567749023,0.3135593220338983,0.11935483870967742,0.07838983050847458,0.25,3.0,55,0
1.3872950077056885,0.3135593220338983,0.11935483870967742,0.07838983050847458,0.25,3.0,56,0
1.3670436143875122,0.3135593220338983,0.11935483870967742,0.07838983050847458,0.25,3.0,57,0
1.3555916547775269,0.3107344632768362,0.11853448275862069,0.07790368271954674,0.24774774774774774,3.0,58,0
1.3615082502365112,0.3305084745762712,0.14745823732718896,0.1985075929481585,0.2599882491186839,3.0,59,0
